code_wilaya,wilaya,commune
1,ADRAR,ADRAR
1,ADRAR,TAMEST
1,ADRAR,CHAROUINE
1,ADRAR,REGGANE
1,ADRAR,IN-ZGHMIR
1,ADRAR,TIT
1,ADRAR,KSAR KADDOUR
1,ADRAR,TSABIT
1,ADRAR,TIMIMOUN
1,ADRAR,OULED SAID
1,ADRAR,ZAOUIET KOUNTA
1,ADRAR,AOULEF
1,ADRAR,TIMEKTEN
1,ADRAR,TAMANTIT
1,ADRAR,FENOUGHIL
1,ADRAR,TINERKOUK
1,ADRAR,DELDOUL
1,ADRAR,SALI
1,ADRAR,AKABLI
1,ADRAR,METARFA
1,ADRAR,OULED AHMED
1,ADRAR,BOUDA
1,ADRAR,AOUGROUT
1,ADRAR,TALMINE
1,ADRAR,BORDJ BAJI MOKHTAR
1,ADRAR,SEBAA
1,ADRAR,OULED AISSA
1,ADRAR,TIMIAOUINE
1,ADRAR,TIMMI
2,CHLEF,CHLEF
2,CHLEF,TENES
2,CHLEF,BENAIRIA
2,CHLEF,EL KARIMIA
2,CHLEF,TADJENA
2,CHLEF,TAOUGRITE
2,CHLEF,BENI HAOUA
2,CHLEF,SOBHA
2,CHLEF,HARCHOUN
2,CHLEF,OULED FARES
2,CHLEF,SIDI AKKACHA
2,CHLEF,BOUKADIR
2,CHLEF,BENI RACHED
2,CHLEF,TALASSA
2,CHLEF,HERENFA
2,CHLEF,OUED GOUSSINE
2,CHLEF,DAHRA
2,CHLEF,OULED ABBES
2,CHLEF,SENDJAS
2,CHLEF,ZEBOUDJA
2,CHLEF,OUED SLY
2,CHLEF,ABOU EL HASSAN
2,CHLEF,EL MARSA
2,CHLEF,CHETTIA
2,CHLEF,SIDI ABDERRAHMANE
2,CHLEF,MOUSSADEK
2,CHLEF,EL HADJADJ
2,CHLEF,LABIOD
2,CHLEF,OUED FODDA
2,CHLEF,OULED B ABDELKADER
2,CHLEF,BOUZEGHAIA
2,CHLEF,AIN MERANE
2,CHLEF,OUM DROU
2,CHLEF,BREIRA
2,CHLEF,BENI BOUATEB
2,CHLEF,MEDJADJA
3,LAGHOUAT,LAGHOUAT
3,LAGHOUAT,KSAR EL HIRANE
3,LAGHOUAT,BENACER BEN CHOHRA
3,LAGHOUAT,SIDI MAKHLOUF
3,LAGHOUAT,HASSI DELAA
3,LAGHOUAT,HASSI R'MEL
3,LAGHOUAT,AIN MADHI
3,LAGHOUAT,TADJEMOUT
3,LAGHOUAT,KHENEG
3,LAGHOUAT,GUELTAT SIDI SAAD
3,LAGHOUAT,AIN SIDI ALI
3,LAGHOUAT,BEIDHA
3,LAGHOUAT,BRIDA
3,LAGHOUAT,EL GHICHA
3,LAGHOUAT,HADJ MECHRI
3,LAGHOUAT,SEBGAG
3,LAGHOUAT,TAOUIALA
3,LAGHOUAT,TADJROUNA
3,LAGHOUAT,AFLOU
3,LAGHOUAT,EL ASSAFIA
3,LAGHOUAT,OUED MORRA
3,LAGHOUAT,OUED M'ZI
3,LAGHOUAT,EL HAOUAITA
3,LAGHOUAT,SIDI BOUZID
4,OUM EL BOUAGHI,OUM EL BOUAGHI
4,OUM EL BOUAGHI,AIN BEIDA
4,OUM EL BOUAGHI,AIN M'LILA
4,OUM EL BOUAGHI,EL AMIRIA
4,OUM EL BOUAGHI,EL AMIRIA
4,OUM EL BOUAGHI,SEGOUS
4,OUM EL BOUAGHI,EL BELALA
4,OUM EL BOUAGHI,AIN BABOUCHE
4,OUM EL BOUAGHI,BERRICHE
4,OUM EL BOUAGHI,OULED HAMLA
4,OUM EL BOUAGHI,DHALA
4,OUM EL BOUAGHI,AIN KERCHA
4,OUM EL BOUAGHI,HANCHIR TOUMGHALI
4,OUM EL BOUAGHI,EL DJAZIA
4,OUM EL BOUAGHI,AIN DISS
4,OUM EL BOUAGHI,FKIRINA
4,OUM EL BOUAGHI,SOUK NAAMANE
4,OUM EL BOUAGHI,ZORG
4,OUM EL BOUAGHI,EL FEDJOUDJ B S
4,OUM EL BOUAGHI,OULED ZOUAI
4,OUM EL BOUAGHI,BIR CHOUHADA
4,OUM EL BOUAGHI,KSAR SBAHI
4,OUM EL BOUAGHI,OUED NINNI
4,OUM EL BOUAGHI,MESKIANA
4,OUM EL BOUAGHI,AIN FAKROUN
4,OUM EL BOUAGHI,RAHIA
4,OUM EL BOUAGHI,AIN ZITOUN
4,OUM EL BOUAGHI,OULED GACEM
4,OUM EL BOUAGHI,EL HARMILIA
5,BATNA,BATNA
5,BATNA,GHASSIRA
5,BATNA,MAAFA
5,BATNA,MEROUANA
5,BATNA,SERIANA
5,BATNA,MENAA
5,BATNA,EL MADHER
5,BATNA,TAZOULT
5,BATNA,N'GAOUS
5,BATNA,GUIGBA
5,BATNA,INOUGHISSEN
5,BATNA,OUYOUN EL ASSAFIR
5,BATNA,DJERMA
5,BATNA,BITAM
5,BATNA,METKAOUAK
5,BATNA,ARRIS
5,BATNA,KIMMEL
5,BATNA,TILATOU
5,BATNA,AIN DJASSER
5,BATNA,OULED SELLAM
5,BATNA,TIGHERGHAR
5,BATNA,AIN YAGOUT
5,BATNA,FESDIS
5,BATNA,SEFIANE
5,BATNA,RAHBAT
5,BATNA,TIGHANIMINE
5,BATNA,LEMSANE
5,BATNA,KSAR BELLEZMA
5,BATNA,REGGANA
5,BATNA,ICHMOUL
5,BATNA,FOUM TOUB
5,BATNA,BENI FOUDHALA E H
5,BATNA,OUED EL MA
5,BATNA,TALKHAMT
5,BATNA,BOUZINA
5,BATNA,CHEMORA
5,BATNA,OUED CHAABA
5,BATNA,TAXLENT
5,BATNA,GOSBAT
5,BATNA,OULED AOUF
5,BATNA,BOUMAGUEUR
5,BATNA,BARIKA
5,BATNA,DJEZZAR
5,BATNA,T'KOUTT
5,BATNA,AIN TOUTA
5,BATNA,HIDOUSSA
5,BATNA,TENIET EL ABED
