Code,Wilaya,Indicatif Téléphonique
01,Wilaya d'Adrar,+213 (0)49
02,Wilaya de Chlef,+213 (0)27
03,Wilaya de Laghouat,+213 (0)29
04,Wilaya d'Oum El Bouaghi,+213 (0)32
05,Wilaya de Batna,+213 (0)33
06,Wilaya de Béjaïa,+213 (0)34
07,Wilaya de Biskra,+213 (0)33
08,Wilaya de Béchar,+213 (0)49
09,Wilaya de Blida,+213 (0)25
10,Wilaya de Bouira,+213 (0)26
11,Wilaya de Tamanrasset,+213 (0)29
12,Wilaya de Tébessa,+213 (0)37
13,Wilaya de Tlemcen,+213 (0)43
14,Wilaya de Tiaret,+213 (0)46
15,Wilaya de Tizi-Ouzou,+213 (0)26
16,Wilaya d'Alger,+213 (0)21
16,Wilaya d'Alger,+213(0)23
17,Wilaya de Djelfa,+213 (0)27
18,Wilaya de Jijel,+213 (0)34
19,Wilaya de Sétif,+213 (0)36
20,Wilaya de Saida,+213 (0)48
21,Wilaya de Skikda,+213 (0)38
22,Wilaya de Sidi-Bel-Abbès,+213 (0)48
23,Wilaya d'Annaba,+213 (0)38
24,Wilaya de Guelma,+213 (0)37
25,Wilaya de Constantine,+213 (0)31
26,Wilaya de Médéa,+213 (0)25
27,Wilaya de Mostaganem,+213 (0)45
28,Wilaya de M'Sila,+213 (0)35
29,Wilaya de Mascara,+213 (0)45
30,Wilaya d'Ouargla,+213 (0)29
31,Wilaya d'Oran,+213 (0)41
32,Wilaya d'El-Bayadh,+213 (0)49
33,Wilaya d'Illizi,+213 (0)29
34,Wilaya de Bordj-Bou-Arreridj,+213 (0)35
35,Wilaya de Boumerdès,+213 (0)24
36,Wilaya d'El-Tarf,+213 (0)38
37,Wilaya de Tindouf,+213 (0)49
38,Wilaya de Tissemsilt,+213 (0)46
39,Wilaya d'El-Oued,+213 (0)32
40,Wilaya de Khenchela,+213 (0)32
41,Wilaya de Souk-Ahras,+213 (0)37
42,Wilaya de Tipaza,+213 (0)24
43,Wilaya de Mila,+213 (0)31
44,Wilaya de Aïn-Defla,+213 (0)27
45,Wilaya de Naâma,+213 (0)49
46,Wilaya de Aïn-Témouchent,+213 (0)43
47,Wilaya de Ghardaia,+213 (0)29
48,Wilaya de Relizane,+213 (0)46
