Pays (et autres services),Indicatif,Préfixe mobile
Afghanistan,93,7
Afrique du Sud,27,
Albanie,355,6
Algérie,213,5
Algérie,213,6
Algérie,213,7
Algérie,213,9
Allemagne,49,15
Allemagne,49,16
Allemagne,49,17
Andorre,376,3
Andorre,376,4
Andorre,376,6
Angola,244,9
Anguilla,1 264,
Antigua-et-Barbuda,1 268,
Arabie saoudite,966,5
Argentine,54,9
Arménie,374,
Aruba,297,
"Ascension ( Sainte-Hélène, Ascension et Tristan da Cunha)",247,
Australie,61,1
Australie,61,4
Autriche,43,6
Azerbaïdjan,994,
Bahamas,1 242,
Bahreïn,973,
Bangladesh,880,
Barbade,1 246,
Belgique,32,46
Belgique,32,47
Belgique,32,48
Belgique,32,49
Belize,501,
Bénin,229,
Bermudes,1 441,
Bhoutan,975,
Biélorussie,375,
Birmanie,95,
Bolivie,591,6
Bolivie,591,7
Bosnie-Herzégovine,387,6
Botswana,267,
Brésil,55,xx6
Brésil,55,xx7
Brésil,55,xx8
Brésil,55,xx9
Brunei,673,
Bulgarie,359,87
Bulgarie,359,88
Bulgarie,359,89
Burkina Faso,226,
Burundi,257,
Cambodge,855,
Cameroun,237,2 ou 6
Canada,1,
Cap-Vert,238,
Îles Caïmans,1 345,
République centrafricaine,236,
Chili,56,9
Chine (République Populaire de Chine),86,1
Chypre,357,9
Colombie,57,3
Comores,269,
République démocratique du Congo,243,
République du Congo,242,
Îles Cook,682,
Corée du Nord,850,
Corée du Sud,82,1
Costa Rica,506,7
Costa Rica,506,8
Côte d'Ivoire,225,
Croatie,385,9
Cuba,53,
Curaçao et  Pays-Bas caribéens,599,
Danemark,45,2
Danemark,45,30
Danemark,45,31
Danemark,45,40
Danemark,45,41
Danemark,45,42
Danemark,45,50
Danemark,45,51
Danemark,45,52
Danemark,45,53
Danemark,45,60
Danemark,45,61
Danemark,45,71
Danemark,45,81
Danemark,45,9
Diego Garcia( Territoire britannique de l'océan Indien),246,
Djibouti,253,
République dominicaine,1,
Dominique,1 767,
Égypte,20,1
Émirats arabes unis,971,5
Équateur,593,9
Érythrée,291,
Espagne,34,6
Espagne,34,7
Estonie,372,5
Estonie,372,81
Estonie,372,82
États-Unis,1,
Éthiopie,251,
Îles Féroé,298,
Fidji,679,
Finlande,358,4
Finlande,358,50
France,33,6
France,33,7
Gabon,241,
Gambie,220,
Géorgie,995,
Ghana,233,
Gibraltar,350,
Grèce,30,6
Grenade,1 473,
Groenland,299,
Guadeloupe,590,690
Guam,1 671,
Guatemala,502,
Guinée,224,
Guinée équatoriale,240,
Guinée-Bissau,245,
Guyana,592,
Guyane,594,694
Haïti,509,
Honduras,504,
Hong Kong,852,5
Hong Kong,852,6
Hong Kong,852,9
Hongrie,36,20
Hongrie,36,30
Hongrie,36,31
Hongrie,36,70
Inde,91,7
Inde,91,8
Inde,91,9
Indonésie,62,
Irak,964,
Iran,98,
Irlande,353,82
Irlande,353,83
Irlande,353,84
Irlande,353,85
Irlande,353,86
Irlande,353,87
Irlande,353,88
Irlande,353,89
Islande,354,6
Islande,354,7
Islande,354,8
Israël,972,5
Italie,39,3
Jamaïque,1 876,
Japon,81,070
Japon,81,080
Japon,81,090
Jordanie,962,
Kazakhstan,7,70
Kazakhstan,7,77
Kenya,254,
Kirghizistan,996,
Kiribati,686,
Kosovo,383,
Koweït,965,
Laos,856,
Lesotho,266,
Lettonie,371,2
Liban,961,
Liberia,231,
Libye,218,
Liechtenstein,423,
Lituanie,370,6
Luxembourg,352,621
Luxembourg,352,661
Luxembourg,352,671
Luxembourg,352,691
Macao,853,
Macédoine du nord,389,7
Madagascar,261,32
Madagascar,261,33
Madagascar,261,34
Madagascar,261,39
Malaisie,60,1
Malawi,265,
Maldives,960,
Mali,223,
Malouines,500,
Malte,356,
Îles Mariannes du Nord,1 670,
Maroc,212,6
Maroc,212,7
Îles Marshall,692,
Martinique,596,696
Maurice,230,
Mauritanie,222,
Mayotte,262,639
Mexique,52,1
États fédérés de Micronésie,691,
Moldavie,373,
Monaco,377,4
Mongolie,976,
Monténégro,382,
Montserrat,1 664,
Mozambique,258,
Namibie,264,
Nauru,674,
Népal,977,
Nicaragua,505,
Niger,227,
Nigeria,234,
Niue,683,
Norvège,47,4
Norvège,47,9
Nouvelle-Calédonie,687,
Nouvelle-Zélande,64,2
Oman,968,
Ouganda,256,
Ouzbékistan,998,
Pakistan,92,
Palaos,680,
Palestine (réservé),970,
Panama,507,
Papouasie-Nouvelle-Guinée,675,
Paraguay,595,
Pays-Bas,31,6
Pérou,51,9
Philippines,63,
Pologne,48,50
Pologne,48,51
Pologne,48,53
Pologne,48,60
Pologne,48,66
Pologne,48,69
Pologne,48,72
Pologne,48,73
Pologne,48,78
Pologne,48,79
Pologne,48,88
Polynésie française,689,
Porto Rico,1,
Portugal,351,9
Qatar,974,
La Réunion,262,692
La Réunion,262,693
Roumanie,40,7
Royaume-Uni,44,74
Royaume-Uni,44,75
Royaume-Uni,44,7624
Royaume-Uni,44,77
Royaume-Uni,44,78
Royaume-Uni,44,79
Russie,7,9
Rwanda,250,
Saint-Christophe-et-Niévès,1 869,
"Sainte-Hélène, Ascension et Tristan da Cunha, île",290,
Sainte-Lucie,1 758,
Saint-Marin,378,
Saint-Pierre-et-Miquelon,508,
Saint-Vincent-et-les-Grenadines,1 784,
Salomon,677,
Salvador,503,
Samoa,685,
Samoa américaines,1 684,
Sao Tomé-et-Principe,239,
Sénégal,221,
Serbie,381,6
Serbie,381,44
Serbie,381,45
Serbie,381,43
Serbie,381,49
Seychelles,248,
Sierra Leone,232,
Singapour,65,8
Singapour,65,9
Slovaquie,421,9
Slovénie,386,30
Slovénie,386,31
Slovénie,386,40
Slovénie,386,41
Slovénie,386,43
Slovénie,386,49
Slovénie,386,51
Slovénie,386,64
Slovénie,386,68
Slovénie,386,70
Slovénie,386,71
Somalie,252,
Soudan,249,
Soudan du Sud,211,
Sri Lanka,94,
Suède,46,70
Suède,46,71
Suède,46,72
Suède,46,73
Suède,46,76
Suisse,41,74
Suisse,41,75
Suisse,41,76
Suisse,41,77
Suisse,41,78
Suisse,41,79
Suriname,597,8
Eswatini,268,
Syrie,963,
Tadjikistan,992,
Tanzanie,255,
Taïwan (République de Chine),886,9
Tchad,235,
République tchèque,420,
"Territoires extérieurs de l’Australie( Île Christmas,  Îles Cocos,  Îles Heard-et-MacDonald)",672,
Thaïlande,66,8
Timor oriental,670,
Togo,228,
Tokelau,690,
Tonga,676,
Trinité-et-Tobago,1 868,
Tunisie,216,9
Tunisie,216,2
Tunisie,216,5
Tunisie,216,3
Tunisie,216,4
Turkménistan,993,
Îles Turques-et-Caïques,1 649,
Turquie,90,5
Tuvalu,688,
Ukraine,380,
Uruguay,598,
Vanuatu,678,
Vatican (Saint-Siège),39,379
Venezuela,58,4
Îles Vierges des États-Unis,1 340,
Îles Vierges britanniques,1 284,
Viêt Nam,84,
Wallis-et-Futuna,681,
Yémen,967,
Zambie,260,
Zimbabwe,263,
"Système mobile mondial par satellite GMSS, (indicatif partagé)",881,
"Réseaux internationaux, (indicatif partagé)",882,
